group_symbol,0,1,2,3,4,5,6,7,8,9,10,comp
P-1,-0.9225425720000002,-0.79172267914,-0.3668931007200001,-0.2685133218599996,-0.22279114721999999,-0.19497585294999986,-0.02158422471999978,0.0822131871900001,0.15985798834000012,0.23490338329000032,0.4468746185000003,Cu3O7Y1Ba2
P-3m1,-1.2519083022999995,-0.9521509170999998,-0.8160269736800002,-0.7223109245299996,-0.6480974197799998,-0.5729577541499999,-0.45068330768,-0.3760291814799996,-0.04315915107999979,0.037289857880000124,0.9066638946000003,Cu3O7Y1Ba2
P-4,-0.9706420898000001,-0.6276448727099998,-0.4908000945999999,-0.41658501627999983,-0.16090211865999987,0.005972266200000131,0.040774679180000314,0.14240512850000028,0.3619105339400001,0.5889127016200003,2.7839841843000004,Cu3O7Y1Ba2
P-42m,-1.4256038665999995,-1.3165544509999996,-1.13203487396,-0.8570841788999998,-0.7609468460399996,-0.6232452393000001,-0.3522669792199998,0.10040154458000038,0.5549199581000005,2.3492953300400004,9.2309389114,Cu3O7Y1Ba2
P-4m2,-1.3636894226000003,-1.1648379802799995,-1.0349079131999999,-0.5596694946199999,-0.29941401481999963,-0.07837378979999987,0.7362963676200004,1.0249689102000006,1.4271576881200019,3.2562390803800003,4.0434165001,Cu3O7Y1Ba2
P-6,-1.0604109764,-0.6802284240599995,0.04567422868000065,0.42184424400000015,1.3966218948600002,1.5034575462,1.7851946830800005,2.0755831718600004,2.41179466248,6.348846435560034,16.5357170105,Cu3O7Y1Ba2
P-62m,-2.225165844,-2.0213579177899996,-1.9104020118399998,-1.6172520160499995,-1.0387479782199995,-0.9575798511499998,-0.8246892929399995,-0.13772981163999976,0.12212853428000063,0.47529520984000007,13.122268676800001,Cu3O7Y1Ba2
P-6m2,-1.5861897468999997,-1.2190996646699999,-1.0947665214599998,-0.8742172240999995,-0.23139519689999968,0.21329402925000007,0.4722424030200002,0.7482294082800001,1.0704829216200002,2.466341495500003,5.0596618652,Cu3O7Y1Ba2
P2,-1.2118473053,-1.13495135305,-0.6437335013999999,-0.4853541850999996,-0.3606886863999996,-0.15202915669999983,0.027476549100000573,0.3749506473500002,0.5109124184000002,0.80716907975,2.5316586494,Cu3O7Y1Ba2
P2/m,-1.6137018204000002,-1.2700355052999996,-0.4605259894999998,-0.1970478296499999,0.06017279620000027,0.16690456865000014,0.30055665970000034,0.38147997855000015,0.4648623465999999,0.7391784191500002,2.1642313004,Cu3O7Y1Ba2
